Sl. No,State,District,block,Condition 2024
197,Uttar Pradesh,Bijnor,Afzalgarh,Safe
198,Uttar Pradesh,Bijnor,Dhanpur (Alhepur),Safe
199,Uttar Pradesh,Bijnor,Haldaur (Khari Jhalu),Safe
200,Uttar Pradesh,Bijnor,Jaleelpur,Critical
201,Uttar Pradesh,Bijnor,Kiratpur,Safe
202,Uttar Pradesh,Bijnor,Kotwali,Safe
203,Uttar Pradesh,Bijnor,Mohammadpur Deomal,Safe
204,Uttar Pradesh,Bijnor,Najibabad,Safe
205,Uttar Pradesh,Bijnor,Nehtaur (Aaku),Semi_Critical
206,Uttar Pradesh,Bijnor,Noorpur,Semi_Critical
207,Uttar Pradesh,Bijnor,Seohara (Budhanpur),Semi_Critical
208,Uttar Pradesh,Budaun,Ambiapur,Over_Exploited
209,Uttar Pradesh,Budaun,Asafpur,Critical
210,Uttar Pradesh,Budaun,Bisauli,Critical
211,Uttar Pradesh,Budaun,Dahgawan,Safe
212,Uttar Pradesh,Budaun,Dataganj,Safe
213,Uttar Pradesh,Budaun,Islamnagar,Over_Exploited
214,Uttar Pradesh,Budaun,Jagat,Semi_Critical
215,Uttar Pradesh,Budaun,Miaon,Semi_Critical
216,Uttar Pradesh,Budaun,Quadar Chowk,Semi_Critical
217,Uttar Pradesh,Budaun,Sahaswan,Semi_Critical
218,Uttar Pradesh,Budaun,Salarpur,Semi_Critical
219,Uttar Pradesh,Budaun,Samrer,Safe
220,Uttar Pradesh,Budaun,Ujhani,Semi_Critical
221,Uttar Pradesh,Budaun,Usawan,Safe
222,Uttar Pradesh,Budaun,Wazirganj,Semi_Critical
223,Uttar Pradesh,Bulandshahar,Agauta,Safe
224,Uttar Pradesh,Bulandshahar,Anup Shahar,Semi_Critical
225,Uttar Pradesh,Bulandshahar,Arnia Khurd,Critical
226,Uttar Pradesh,Bulandshahar,Bhawan Bahadur Nagar,Over_Exploited
227,Uttar Pradesh,Bulandshahar,Bulandshahar,Over_Exploited
228,Uttar Pradesh,Bulandshahar,Danpur,Critical
229,Uttar Pradesh,Bulandshahar,Debai,Semi_Critical
230,Uttar Pradesh,Bulandshahar,Gulaothi,Over_Exploited
231,Uttar Pradesh,Bulandshahar,Jahangirabad,Semi_Critical
232,Uttar Pradesh,Bulandshahar,Khurja,Critical
233,Uttar Pradesh,Bulandshahar,Lakhaothi,Semi_Critical
234,Uttar Pradesh,Bulandshahar,Pahasu,Semi_Critical
235,Uttar Pradesh,Bulandshahar,Shikarpur,Critical
236,Uttar Pradesh,Bulandshahar,Siana,Over_Exploited
237,Uttar Pradesh,Bulandshahar,Sikandrabad,Over_Exploited
238,Uttar Pradesh,Bulandshahar,Unchagaon,Critical
239,Uttar Pradesh,Chandauli,Barahani,Safe
240,Uttar Pradesh,Chandauli,Chahniya,Safe
241,Uttar Pradesh,Chandauli,Chakia,Semi_Critical
242,Uttar Pradesh,Chandauli,Chandauli,Safe
243,Uttar Pradesh,Chandauli,Dhanapur,Safe
244,Uttar Pradesh,Chandauli,Naugarh,Safe
245,Uttar Pradesh,Chandauli,Niyamatabad,Safe
246,Uttar Pradesh,Chandauli,Sakaldiha,Safe
247,Uttar Pradesh,Chandauli,Shahabganj,Safe
248,Uttar Pradesh,Chitrakoot,Karwi,Critical
249,Uttar Pradesh,Chitrakoot,Manikpur,Safe
250,Uttar Pradesh,Chitrakoot,Mau,Semi_Critical
251,Uttar Pradesh,Chitrakoot,Pahari,Semi_Critical
252,Uttar Pradesh,Chitrakoot,Ramnagar,Semi_Critical
253,Uttar Pradesh,Deoria,Bankata,Safe
254,Uttar Pradesh,Deoria,Barhaj,Safe
255,Uttar Pradesh,Deoria,Betalpur,Safe
256,Uttar Pradesh,Deoria,Bhagalpur,Safe
257,Uttar Pradesh,Deoria,Bhaluani,Safe
258,Uttar Pradesh,Deoria,Bhatni,Safe
259,Uttar Pradesh,Deoria,Bhatparani,Safe
260,Uttar Pradesh,Deoria,Deoria Sadar,Safe
261,Uttar Pradesh,Deoria,Desahi Deoria,Safe
262,Uttar Pradesh,Deoria,Gauri Bazar,Safe
263,Uttar Pradesh,Deoria,Lar,Safe
264,Uttar Pradesh,Deoria,Pather Dewa,Safe
265,Uttar Pradesh,Deoria,Rampur Karhani,Safe
266,Uttar Pradesh,Deoria,Rudrapur,Safe
267,Uttar Pradesh,Deoria,Salempur,Safe
268,Uttar Pradesh,Deoria,Tarkulwa,Safe
269,Uttar Pradesh,Etah,Aliganj,Semi_Critical
270,Uttar Pradesh,Etah,Awagarh,Safe
271,Uttar Pradesh,Etah,Jaithara,Semi_Critical
272,Uttar Pradesh,Etah,Jalesar,Semi_Critical
273,Uttar Pradesh,Etah,Marhara,Safe
274,Uttar Pradesh,Etah,Nidhauli Kalan,Semi_Critical
275,Uttar Pradesh,Etah,Sakit,Safe
276,Uttar Pradesh,Etah,Shitalpur,Semi_Critical
277,Uttar Pradesh,Etawah,Barahpura,Safe
278,Uttar Pradesh,Etawah,Basrehar,Safe
279,Uttar Pradesh,Etawah,Bharthna,Safe
280,Uttar Pradesh,Etawah,Chakaranagar,Safe
281,Uttar Pradesh,Etawah,Jaswantnagar,Safe
282,Uttar Pradesh,Etawah,Mahewa,Safe
283,Uttar Pradesh,Etawah,Sefai,Safe
284,Uttar Pradesh,Etawah,Takha,Safe
285,Uttar Pradesh,Farrukhabad,Barhpur,Semi_Critical
286,Uttar Pradesh,Farrukhabad,Kaimganj,Safe
287,Uttar Pradesh,Farrukhabad,Kamalganj,Semi_Critical
288,Uttar Pradesh,Farrukhabad,Mohamadabad,Semi_Critical
289,Uttar Pradesh,Farrukhabad,Nawabganj,Semi_Critical
290,Uttar Pradesh,Farrukhabad,Rajepur,Safe
291,Uttar Pradesh,Farrukhabad,Shamsabad,Safe
292,Uttar Pradesh,Fatehpur,Airaya,Semi_Critical
293,Uttar Pradesh,Fatehpur,Amauli,Semi_Critical
294,Uttar Pradesh,Fatehpur,Asodhar,Safe
295,Uttar Pradesh,Fatehpur,Bahua,Safe
296,Uttar Pradesh,Fatehpur,Bhitaura,Over_Exploited
297,Uttar Pradesh,Fatehpur,Deomai,Safe
298,Uttar Pradesh,Fatehpur,Dhata,Safe
299,Uttar Pradesh,Fatehpur,Haswa,Safe
300,Uttar Pradesh,Fatehpur,Hathgaon,Safe
301,Uttar Pradesh,Fatehpur,Khajuha,Semi_Critical
