S. No.,Name of District,Recharge from rainfall (Monsoon),Recharge from other sources (Monsoon),Recharge from rainfall (Non-monsoon),Recharge from other sources (Non-monsoon),Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Irrigation,Industrial,Domestic,Total,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
29,Ghaziabad,1558.01,12344.61,286.45,3137.22,17326.29,1449.84,15876.45,6183.84,28.58,1051.6,7264.02,1310.25,8692.61,82.6
30,Ghazipur,5687.73,19580.28,1039.1,2965.17,29272.28,4260.1,25012.18,8827.56,117.39,1352.34,10297.29,1349.07,16171.34,65.88
31,Gonda,7245.4,6725.47,2487.06,3056.82,19514.75,1785.25,17729.5,6972.95,186.06,991.83,8150.84,829.11,15756.05,63.73
32,Gorakhpur,12595.22,11137.45,4581.88,2060.67,30475.22,4600.34,25874.88,9099.38,1156.06,2213.25,12468.68,1291.54,20154.5,63.67
33,Hamirpur,2396.55,2953.02,491,3087.45,8928.02,1609.71,7318.31,2413.87,92.8,358.56,2865.23,444.4,4904.01,61.53
34,Hapur,2960.47,12967.31,407.88,2966.7,19302.36,1637.53,17664.83,4870.13,151.99,874.49,5896.94,1139.8,11898.16,61.15
35,Hardoi,9804.17,29084.47,3821.97,3732.72,46443.43,8943.3,37500.13,18720.55,613.07,8745.09,28078.71,1036.48,18969.58,62.13
36,Hathras,2667.81,9607.13,368.52,2312.67,14956.13,1441.99,13514.14,4707.67,61.1,1104.4,5873.17,759.56,8806.47,64
37,Jalaun,5819.68,12996.86,1260,2029.33,22105.87,1727.47,20378.4,6920.06,282.13,1472.44,8674.63,3327.73,13709.76,76.7
38,Jaunpur,8818.65,22999.6,3051.92,3360.47,38130.64,2596.68,35533.96,11787.8,290.55,1074.9,13153.25,1069.25,23746.16,73.83
39,Jhansi,6696.5,15929.62,833.6,3299.38,26957.1,4938.48,22018.62,7405.92,282.24,1327.44,9015.6,4159.42,13612.7,83.96
40,Kannauj,2916.12,5959.45,308.9,2369.28,11553.75,2131.11,9422.64,3655.27,158.82,670.84,4484.93,795.11,5767.37,69.91
